,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
416,Produce (fruits & vegetables),No cambió,No cambió,Software especializado + computadora,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora","Página web propia,WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
417,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,"Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),Software especializado + computadora","Página web propia,WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
418,Technology store,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,10%,Software especializado,no,Aumentar la cantidad del pedido,30%,Ni de acuerdo ni en desacuerdo,De acuerdo
419,Bakery store,Aumentó 15%,No cambió,Software especializado + computadora,Caja registradora (análoga),WhatsApp,Ninguna,10%,Ninguna,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
420,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,En papel,WhatsApp,Aplicación móvil,10%,Ninguna,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,De acuerdo
421,Grocery store (aka. nanostore),Aumentó 15%,No cambió,En Excel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",Redes sociales,10%,Ninguna,no,Aumentar la cantidad del pedido,20%,De acuerdo,De acuerdo
422,Grocery store (aka. nanostore),No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Ninguna,10%,Ninguna,no,Aumentar la cantidad del pedido,0,De acuerdo,De acuerdo
423,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Llamada a Teléfono fijo,Ninguna,10%,Ninguna,no,Aumentar la cantidad del pedido,0,De acuerdo,De acuerdo
424,Laundry Store,Aumentó 25%,No cambió,En Excel,Software especializado + computadora,Llamada a Teléfono fijo,Ninguna,10%,Excel,no,Aumentar la cantidad del pedido,0,De acuerdo,De acuerdo
425,Grocery store (aka. nanostore),Aumentó 25%,No cambió,No lo hago,No lo hago,Llamada a Teléfono fijo,Aplicación móvil,10%,Excel,yes,Aumentar la cantidad del pedido,0,De acuerdo,De acuerdo
426,barber shop,No cambió,No cambió,Software especializado + computadora,"En Excel,Software especializado + computadora","Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,10%,Excel,yes,Aumentar la cantidad del pedido,0,De acuerdo,De acuerdo
427,Dairy products,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,15%,Excel,yes,Disminuir la frecuencia de pedidos,50% +,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
428,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,De acuerdo,De acuerdo
429,ferretería ,No cambió,No cambió,"En Excel,En papel",No lo hago,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,40%,"Cuaderno,Excel",yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,De acuerdo,Totalmente de acuerdo
430,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,WhatsApp",Redes sociales,30%,Ninguna,no,Ninguna de las anteriores,0,De acuerdo,Ni de acuerdo ni en desacuerdo
431,lavandería ,No cambió,No cambió,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,no,Ninguna de las anteriores,0,Totalmente de acuerdo,Totalmente de acuerdo
432,tecnología ,No cambió,Aumentó 15%,En papel,En papel,"Redes sociales (e.g. Facebook, Instagram)",Ninguna,30%,Ninguna,yes,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
433,Micro-restaurant (aka. fondita),Aumentó 25%,No cambió,En Excel,En Excel,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)",Redes sociales,25%,Ninguna,no,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,De acuerdo
434,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,No lo hago,WhatsApp,Teléfono celular ,30%,"Aplicación móvil,Excel",no,Disminuir la frecuencia de pedidos,30%,De acuerdo,En desacuerdo
435,Grocery store (aka. nanostore),No cambió,No cambió,"Aplicación móvil (i.e. App) + smartphone,En Excel","Aplicación móvil (i.e. App) + smartphone,En Excel,En papel","Llamada a Teléfono celular,WhatsApp",Teléfono celular ,30%,"Aplicación móvil,Excel",no,Disminuir la frecuencia de pedidos,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
436,Grocery store (aka. nanostore),No cambió,40,En Excel,"En Excel,En papel","Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,35%,Excel,no,Disminuir la frecuencia de pedidos,50% +,Totalmente de acuerdo,Totalmente de acuerdo
437,Micro-restaurant (aka. fondita),Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
438,Productos tradicionales ,Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
439,productos tradicionales ,Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
440,Grocery store (aka. nanostore),Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
441,Micro-restaurant (aka. fondita),Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
442,Micro-restaurant (aka. fondita),Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
443,Micro-restaurant (aka. fondita),Aumentó 25%,40,En papel,En papel,WhatsApp,Redes sociales,40%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,De acuerdo,Totalmente en desacuerdo
